game_version,version_name,release_date,patch_note_url,update_notice_url
2024.09.17.0000.0000,7.0,2024-09-26,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/365381,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/365344
2024.10.10.0000.0000,7.01,2024-10-22,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/366229,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/366293
2024.11.01.0000.0000,7.05,2024-11-12,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/367014,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/367072
2025.02.13.0000.0000,7.1,2025-02-18,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/371127,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/371173
2025.03.03.0000.0000,7.11,2025-03-11,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/371841,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/372098
2025.04.12.0000.0000,7.15,2025-04-22,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/373517,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/373545
2025.06.13.0000.0000,7.2,2025-06-24,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/375723,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/375733
2025.07.28.0000.0000,7.25,2025-08-12,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/377534,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/377696
2025.09.03.0000.0000,7.3,2025-09-16,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/379016,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/379070
2025.10.23.0000.0000,7.35,2025-11-04,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/380616,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/380721
2025.12.09.0000.0000,7.4,2025-12-16,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/382068,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/382290
2025.12.18.0000.0000,7.4x1,2025-12-19,,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/382574
2025.12.23.0000.0000,7.4x2,2025-12-25,,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/382821
2026.01.21.0000.0000,7.41,2026-01-27,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/383894,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/384122
2026.01.30.0000.0000,7.41x1,2026-02-05,,https://ff.web.sdo.com/web8/index.html#/newstab/newscont/384526
