game_version,version_name,release_date,patch_note_url,update_notice_url
2024.11.19.0000.0000,7.0,2024-12-03,https://www.ff14.co.kr/news/notice/view/2603,https://www.ff14.co.kr/news/notice/view/2606
2024.12.18.0000.0000,7.01,2024-12-24,https://www.ff14.co.kr/news/notice/view/2619,https://www.ff14.co.kr/news/notice/view/2624
2025.01.08.0000.0000,7.05,2025-01-14,https://www.ff14.co.kr/news/notice/view/2630,https://www.ff14.co.kr/news/notice/view/2636
2025.03.07.0000.0000,7.1,2025-03-18,https://www.ff14.co.kr/news/notice/view/2661,https://www.ff14.co.kr/news/notice/view/2667
2025.04.09.0000.0000,7.11,2025-04-15,https://www.ff14.co.kr/news/notice/view/2671,https://www.ff14.co.kr/news/notice/view/2676
2025.05.14.0000.0000,7.15,2025-05-27,https://www.ff14.co.kr/news/notice/view/2693,https://www.ff14.co.kr/news/notice/view/2699
2025.07.04.0000.0000,7.2,2025-07-15,https://www.ff14.co.kr/news/notice/view/2715,https://www.ff14.co.kr/news/notice/view/2720
2025.08.01.0000.0000,7.21,2025-08-12,https://www.ff14.co.kr/news/notice/view/2733,https://www.ff14.co.kr/news/notice/view/2736
2025.09.02.0000.0000,7.25,2025-09-09,https://www.ff14.co.kr/news/notice/view/2757,https://www.ff14.co.kr/news/notice/view/2760
2025.09.26.0000.0000,7.3,2025-10-28,https://www.ff14.co.kr/news/notice/view/2774,https://www.ff14.co.kr/news/notice/view/2777
2025.11.11.0000.0000,7.31,2025-11-25,https://www.ff14.co.kr/news/notice/view/2785,https://www.ff14.co.kr/news/notice/view/2788
2025.12.12.0000.0000,7.35,2025-12-23,https://www.ff14.co.kr/news/notice/view/2803,https://www.ff14.co.kr/news/notice/view/2807
2026.01.28.0000.0000,7.4,2026-02-03,https://www.ff14.co.kr/news/notice/view/2824,https://www.ff14.co.kr/news/notice/view/2828
2026.02.06.0000.0000,7.4x1,2026-02-10,,https://www.ff14.co.kr/news/notice/view/2831
